city_id,city_name,zipcode,population_density,average_income
81,Sacramento,81966,28802,937574
78,San Diego,83701,25115,432557
74,Tampa,81280,17561,1378175
95,Garland,73265,13746,907451
34,Fort Wayne,48982,24515,1455649
80,New Orleans,35640,28462,1158966
70,Rochester,415,14899,1309630
43,Glendale,32198,19288,1300195
1,Dayton,80563,7453,1101884
11,Spokane,38103,23201,313843
65,Baltimore,89197,4668,1200320
31,Wichita,93028,24254,1390324
19,Omaha,24733,16577,636655
5,Virginia Beach,62389,14151,1493683
32,Jackson,40971,23304,1403061
27,Mesa,60852,21423,759548
13,Akron,83448,20174,914096
23,Anaheim,21500,11860,1424145
54,Albuquerque,55358,19411,1246891
86,San Jose,45666,18841,1037733
41,Bakersfield,13915,25367,1239321
68,Anchorage,29493,9436,997053
16,Norfolk,88825,20915,1393645
69,Oakland,29029,7340,655351
89,St. Paul,77998,12433,1281748
10,Toledo,52048,27072,1494864
40,Cleveland,51352,27695,1208346
12,Tacoma,43085,16619,1462053
46,New York,17104,22299,456413
56,Stockton,46777,14963,1143284
29,Washington,63454,10495,774684
73,Santa Ana,23419,25662,880088
71,Phoenix,84193,15409,1102611
6,Austin,781,16175,474639
45,Dallas,20151,26663,1394761
50,Cincinnati,83634,21002,873878
36,Detroit,72819,3723,570804
17,St. Louis,19382,17262,1105444
48,Long Beach,97859,4828,1020488
35,Greensboro,35659,22797,955832
8,Arlington,12654,9219,1245039
92,Hialeah,34375,9098,923421
28,Tucson,34760,24158,803066
20,El Paso,95963,16937,754259
79,Oklahoma,40472,19171,889915
26,Des Moines,40742,16275,768256
90,Grand Rapids,70862,11985,1189894
14,Indianapolis,81678,23052,466881
